대여소번호,대여소명,자치구,동,상세주소,위도,경도,설치시기,2025_대여량
584,광진광장 교통섬,광진구,군자동,서울특별시 광진구 군자동 374-8 광진광장 교통섬,37.54782867,127.0726318,2016/09/02 11:00,1
501,광진구의회 앞,광진구,자양3동,서울특별시 광진구 능동로 76 광진구의회 앞,37.53730774,127.0703506,2015/10/07 11:46,1
3501,광진구청 앞,광진구,자양1동,서울특별시 광진구 자양로 131 광진구청 앞,37.53950119,127.0830002,2017/11/01 12:11,1
516,광진메디칼 앞,광진구,군자동,서울특별시 광진구 광나루로 355 광진메디컬앞,37.54840469,127.0693665,2015/10/07 11:59,1
3503,광진유진스웰,광진구,광장동,서울특별시 광진구 아차산로78길 7 광진유진스웰,37.55048752,127.1089554,2017/11/01 12:14,1
3528,광진정보도서관,광진구,광장동,서울특별시 광진구 아차산로78길 90 광진정보도서관,37.55059814,127.1105118,2018/10/29 0:00,2
577,광진청소년수련관,광진구,광장동,서울특별시 광진구 구천면로 2 광진청소년수련관,37.54654694,127.1061325,2016/07/06 12:00,2
3563,구의7단지현대아파트,광진구,구의3동,서울특별시 광진구 구의강변로3가길 33 구의7단지조합현대아파트,37.53680038,127.0908356,2020/06/09 0:00,2
543,구의공원(테크노마트 앞),광진구,구의3동,서울특별시 광진구 구의동 546-3 구의공원(테크노마트 앞),37.53596878,127.0946732,2016/06/29 12:00,2
573,구의문주차장 앞,광진구,능동,서울특별시 광진구 능동로 216 구의문주차장 앞,37.54523087,127.0847321,2016/07/06 0:00,2
551,구의삼성쉐르빌 앞,광진구,구의3동,서울특별시 광진구 구의강변로 106 구의삼성쉐르빌 앞,37.54006195,127.0944977,2016/07/06 12:00,2
3516,구의아리수정수센터앞,광진구,광장동,서울특별시 광진구 광나루로 571 구의아리수정수센터앞,37.54370499,127.0932465,2017/11/28 10:35,2
3570,구의역 리버비스타 오피스텔,광진구,구의1동,서울특별시 광진구 아차산로 417,37.53809738,127.0890198,2020/04/14 0:00,2
539,군자교교차로,광진구,중곡1동,서울특별시 광진구 중곡동 263-1 군자교교차로,37.55979538,127.0742035,2016/06/29 12:00,2
540,군자역 7번출구 베스트샵 앞,광진구,군자동,서울특별시 광진구 군자동 499 군자역 7번출구 베스트샵 앞,37.55603027,127.0786438,2016/06/29 12:00,2
3518,군자역 7번출구뒤,광진구,군자동,서울특별시 광진구 천호대로 지하 550 군자역 7번출구 뒤,37.55686188,127.0791397,2017/11/28 10:22,2
3586,군자역 비채온 오피스텔,광진구,군자동,서울특별시 광진구 군자동 473-26,37.55771255,127.0772705,2020/04/14 0:00,2
3500,군자역2번출구,광진구,중곡1동,서울특별시 광진구 능동로 313 군자역2번출구,37.55758667,127.0796967,2017/11/01 10:28,2
552,대림아크로리버 앞,광진구,구의3동,서울특별시 광진구 구의강변로 64 대림아크로리버 앞,37.53657913,127.0929718,2016/07/06 12:00,2
588,뚝섬 유원지역,광진구,자양3동,서울특별시 광진구 능동로 10 뚝섬유원지역,37.53268814,127.0674973,2016/12/09 9:54,2
502,뚝섬유원지역 1번출구 앞,광진구,자양3동,서울특별시 광진구 능동로 10 뚝섬유원지역 1번출구 앞,37.53186035,127.0671921,2015/10/07 11:47,2
591,건국대학교 (행정관),광진구,화양동,서울특별시 광진구 능동로 120 행정관,37.54277802,127.0753708,2017/08/30 16:29,4
3860,건국대학교 정문 앞,광진구,화양동,서울특별시 광진구 광진구 광나루로 416,37.5465126,127.0757141,2020/12/09 0:00,4
3864,광진소방서 앞,광진구,구의동,서울특별시 광진구 광진구 광나루로 486,37.5450058,127.083374,2020/12/09 0:00,
555,구의3동주민센터,광진구,구의3동,서울특별시 광진구 강변역로 17 구의3동주민센터,37.53784943,127.0921707,2016/07/06 12:00,4
575,대원중고교 입구(대하빌딩),광진구,중곡4동,서울특별시 광진구 용마산로 120 중앙농협 중곡지점,37.56429291,127.0869369,2016/07/06 12:00,4
3873,동서울우편집중국 앞,광진구,자양2동,서울특별시 광진구 광진구 자양로 80,37.53470993,127.0844727,2020/12/10 0:00,4
3863,동일로58길 입구,광진구,군자동,서울특별시 광진구 광진구 동일로 296,37.55775452,127.0729752,2020/12/10 0:00,4
571,세종대학교 대양AI센터,광진구,군자동,서울특별시 광진구 군자동 98-22,37.55039597,127.0758591,2016/07/06 12:00,4
3881,신자초교입구 교차로,구의3동,자양2동,서울특별시 광진구 뚝섬로 596,37.53298569,127.0757904,2021/07/01 0:00,4
3853,어린이대공원역 2번출구,광진구,능동,서울특별시 광진구 광진구 능동 463-1,37.54764938,127.074707,2020/12/09 0:00,4
3890,웰츠타워 오피스텔,광진구,구의1동,광진구 자양동 252-133,37.53803253,127.0835571,2023/01/12 0:00,4
3865,이튼타워리버 2차,광진구,자양3동,서울특별시 광진구 광진구 능동로 50,37.53520966,127.0690002,2020/12/09 0:00,4
