,대여소번호,대여소명,자치구,동,상세주소,위도,경도,설치시기,2025_대여량
37,3880,홍련봉 공원,광진구,구의2동,서울특별시 광진구 광진구 천호대로 717-18,37.54896927,127.0935288,2021/05/18 0:00,1
24,3571,화양 APT(횡단보도 옆),광진구,화양동,서울특별시 광진구 화양동 24-33,37.54434967,127.0654068,2020/04/13 0:00,1
26,3582,화양동 우체국,광진구,화양동,서울특별시 광진구 화양동 18-39,37.54798889,127.0695038,2020/04/13 0:00,1
44,3508,화양사거리,광진구,화양동,서울특별시 광진구 화양동 21-6 화양사거리,37.54822159,127.0678787,2017/11/01 16:00,1
49,542,강변역 4번출구 뒤,광진구,구의3동,"서울특별시 광진구 구의동 546-6 강변역 1,4번 출구 아래",37.53582382,127.094162,2016/06/29 12:00,4
52,590,건국대학교 (입학정보관),광진구,화양동,서울특별시 광진구 능동로 120 입학정보관,37.53989029,127.0733643,2017/08/30 16:27,4
58,3523,건국대학교 과학관(이과대) 앞,광진구,화양동,서울특별시 광진구 능동로 120 건국대학교 과학관(이과대) 앞,37.54171753,127.0801697,2018/04/16 14:09,4
51,592,건국대학교 학생회관,광진구,화양동,서울특별시 광진구 능동로 120 학생회관,37.54191208,127.0776367,2017/08/30 16:30,4
46,3569,건대병원후문,광진구,화양동,서울특별시 광진구 화양동 4-1,37.53956604,127.0724411,2020/05/07 0:00,4
55,3534,건대입구역 5번출구 뒤,광진구,자양4동,서울특별시 광진구 아차산로 236 건대입구역 5번출구 뒤,37.5401268,127.0694962,2018/10/29 0:00,4
57,3533,건대입구역 사거리(롯데백화점),광진구,자양3동,서울특별시 광진구 능동로 92 건대입구역 사거리(롯데백화점),37.53913879,127.0706177,2018/10/29 0:00,4
59,3573,광나루안전체험관,광진구,능동,서울특별시 광진구 능동 18,37.5513382,127.0767136,2020/04/13 0:00,4
56,576,광나루역 3번 출구,광진구,광장동,서울특별시 광진구 아차산로 552 광나루역 3번 출구,37.54483032,127.1042633,2016/07/06 12:00,4
47,544,광남중학교,광진구,광장동,서울특별시 광진구 광장동 561-15 광남중학교,37.54072952,127.1029053,2016/06/29 12:00,4
53,515,광양중학교 앞,광진구,자양2동,서울특별시 광진구 자양로3길 7 광양중학교 앞,37.53023529,127.0868301,2015/10/07 11:59,4
50,3579,광진 캠퍼스시티,광진구,화양동,서울특별시 광진구 화양동 21-62,37.54788971,127.0674515,2020/04/13 0:00,4
48,3520,광진경찰서,광진구,구의1동,서울특별시 광진구 자양로 167 광진경찰서,37.54251862,127.0840836,2018/02/26 10:57,4
54,3581,광진광장,광진구,군자동,서울특별시 광진구 군자동 374-10,37.54747009,127.073967,2020/04/16 0:00,4
62,3542,래미안 구의파크 스위트,광진구,구의2동,서울특별시 광진구 광나루로 545 래미안파크스위트,37.5450058,127.0900345,2018/11/14 0:00,2
70,3588,세종대학교(영실관),광진구,군자동,서울특별시 광진구 군자로 114 세종초등학교,37.55237198,127.0735397,2020/05/07 0:00,2
79,3543,세종대학교(학술정보원),광진구,능동,서울특별시 광진구 능동로 209 세종대학교,37.55137253,127.07444,2019/12/16 0:00,2
67,3509,세종사이버대학교,광진구,군자동,서울특별시 광진구 군자동 111-2 세종사이버대학교,37.55341721,127.0731964,2017/11/01 16:00,2
71,3505,신양초교앞 교차로,광진구,자양4동,서울특별시 광진구 능동로 42 신양초교앞 교차로,37.5352211,127.0683975,2017/11/01 12:40,2
63,3537,아차산 휴먼시아 아파트 옆,광진구,구의2동,서울특별시 광진구 천호대로 716 아차산 휴먼시아 아파트 옆,37.54848862,127.0937576,2018/10/29 0:00,2
75,549,아차산역 3번출구,광진구,구의2동,서울특별시 광진구 구의동 96 아차산역 3번출구,37.55122375,127.0897064,2016/06/29 12:00,2
69,574,아차산역4번출구,광진구,능동,서울특별시 광진구 능동로 216 아차산역4번출구,37.55184937,127.0889816,2016/07/06 12:00,2
66,500,어린이대공원역 3번출구 앞,광진구,화양동,서울특별시 광진구 능동로 지하210 어린이대공원역 3번출구 앞,37.54706955,127.0742722,2015/10/07 11:45,2
64,3529,어린이대공원정문,광진구,능동,서울특별시 광진구 능동로 216 어린이대공원정문,37.54978943,127.0759277,2018/10/31 0:00,2
60,3507,어린이회관,광진구,능동,서울특별시 광진구 능동 465-7 어린이회관,37.54595184,127.0780029,2017/11/01 16:00,2
74,3506,영동대교 북단,광진구,자양4동,서울특별시 광진구 자양동 203-22 영동대교 북단,37.53701401,127.0610962,2017/11/01 16:00,2
65,3517,용마사거리,광진구,중곡1동,서울특별시 광진구 능동로 373 용마사거리,37.5625267,127.0822754,2017/11/28 10:24,2
